fecha,precio
9/13/23,1909.33
9/12/23,1913.26
9/11/23,1921.66
9/08/23,1917.81
9/07/23,1919.19
9/06/23,1916.28
9/05/23,1925.81
9/04/23,1938.19
9/01/23,1938.8
